ds,yhat,yhat_lower,yhat_upper,y,type
2014-01-01,82.06992683746572,-40.401105778672985,213.2155682326224,0.0,historical
2014-01-02,63.04558060633566,-63.362679083472976,187.61918761153083,70.0,historical
2014-01-03,71.90545142857341,-58.51706464196111,202.99784667190372,59.0,historical
2014-01-04,120.99933754129883,-15.872370021048622,242.80851996776934,93.0,historical
2014-01-05,73.83805605347598,-50.809235546997186,203.79942265531486,96.0,historical
2014-01-06,44.51038857439859,-80.18834553164906,178.2960674399408,145.0,historical
2014-01-07,41.631331313451675,-82.67566893544853,170.098544728536,179.0,historical
2014-01-08,66.12247154076076,-58.6662991592569,191.65109834829366,321.0,historical
2014-01-09,51.753932650024886,-76.98427068138923,193.7386664709386,125.0,historical
2014-01-10,65.58978481317985,-57.970594249782444,199.8755169880271,88.0,historical
2014-01-11,119.86766942074978,-9.283428097785812,250.654931886228,188.0,historical
2014-01-12,77.98200356403362,-52.68848578416936,204.5613008444104,121.0,historical
2014-01-13,53.90346504689745,-78.2914652931177,183.95585971700194,134.0,historical
2014-01-14,56.12979976917126,-71.3907084295678,183.3882689444755,80.0,historical
2014-01-15,85.46871767040965,-48.07978445364395,211.63828752117635,82.0,historical
2014-01-16,75.58226521403597,-59.783625653835784,200.64824340418411,94.0,historical
2014-01-18,151.17330616200104,34.143887487184344,280.4836140536737,159.0,historical
2014-01-19,112.11525851651247,-11.818344167926947,237.03866653380996,199.0,historical
2014-01-20,90.16689024444499,-42.60133483596542,216.72011951558287,104.0,historical
2014-01-21,93.77668288683196,-34.74152897588783,217.77845133849692,70.0,historical
2014-01-22,123.7189357027313,-6.655021442392842,259.6808567771531,127.0,historical
2014-01-23,113.63874711375229,-8.575242981404172,244.4691735068573,96.0,historical
2014-01-24,130.49996411580102,6.859859531094719,263.26610673274354,75.0,historical
2014-01-25,186.4667984096024,57.82095384406682,311.30432810127223,198.0,historical
2014-01-26,144.88843844056464,15.31682051846951,273.1149319121874,168.0,historical
2014-01-27,119.71933375826184,-12.10087995993547,244.84672875245593,125.0,historical
2014-01-28,119.4701828021395,-8.658845540727462,248.96361531848413,86.0,historical
2014-01-29,144.99039293518547,19.446656870682375,279.50527613358264,222.0,historical
